term,estimate,se,t_val,p_val,topic,destination,sig
destinationvocin,-0.00324889644841735,0.00535325601968103,-0.606901003141438,0.543926521377052,15,vocin,""
destinationkrasno,0.0611880325346873,0.00969241145462776,6.31298339129756,2.82019453920901e-10,16,krasno,***
destinationludbreg,0.0457229231427872,0.00874210670705724,5.23019504050167,1.71788138092155e-07,16,ludbreg,***
destinationmarija_bistrica,0.221188118802368,16.6693094772715,0.0132691830518809,0.989413224751216,16,marija_bistrica,""
destinationnin,0.186707862451412,19.5229650071127,0.00956349931393057,0.992369685060659,16,nin,""
destinationsinj,0.215349637351358,16.6693011086103,0.0129189361898396,0.989692652331842,16,sinj,""
destinationsolin,0.342461763806623,19.5229669064612,0.0175414815508028,0.98600489211165,16,solin,""
destinationtrsat,0.211685147440111,16.6692865079575,0.0126991126668234,0.989868028584491,16,trsat,""
destinationvepric,0.0986011913927365,0.0128122746340454,7.69583810908399,1.50009685227669e-14,16,vepric,***
destinationvocin,0.0383894490661223,0.00523188439112286,7.33759506063612,2.29509002540586e-13,16,vocin,***
destinationkrasno,0.0091526675851568,0.0103092492016736,0.887811265991221,0.374657637985892,17,krasno,""
destinationludbreg,-0.00695192764543717,0.00849436088072638,-0.81841679945704,0.413133257123761,17,ludbreg,""
destinationmarija_bistrica,-0.247555332619966,21.8768783392303,-0.0113158435486677,0.990971618160008,17,marija_bistrica,""
destinationnin,0.208499970138117,24.9613798351269,0.00835290242427646,0.993335545444687,17,nin,""
destinationsinj,-0.245037835964925,21.876851545892,-0.011200781586459,0.991063416854231,17,sinj,""
destinationsolin,0.292207522346945,24.9612923862082,0.0117064260065476,0.990660004699621,17,solin,""
destinationtrsat,-0.0442334292199495,21.876882082023,-0.00202192565897211,0.998386766837725,17,trsat,""
destinationvepric,-0.0108487396802899,0.0106353961292125,-1.02005976538019,0.307717863909433,17,vepric,""
destinationvocin,-0.000978252376173982,0.00574212064676857,-0.170364302032648,0.86472612315668,17,vocin,""
destinationkrasno,-0.00715175556054736,0.00839574405222223,-0.851831060601996,0.394322534417343,18,krasno,""
destinationludbreg,-0.0103645166339541,0.00700963898831067,-1.4786091910351,0.139267446232464,18,ludbreg,""
destinationmarija_bistrica,-0.192230137720527,18.4604945698898,-0.0104130545903178,0.991691884043378,18,marija_bistrica,""
destinationnin,-0.114892347752883,21.2665797975291,-0.00540248356090772,0.995689540245838,18,nin,""
destinationsinj,-0.151078624132589,18.4605050420344,-0.00818388358219803,0.993470395934478,18,sinj,""
destinationsolin,-0.128506583950028,21.2664694511791,-0.0060426853759171,0.995178750658692,18,solin,""
destinationtrsat,-0.0823812822367934,18.4604958494251,-0.00446257147742644,0.996439458951563,18,trsat,""
destinationvepric,-0.0105690637227444,0.00904290216425368,-1.16876900034633,0.242516749663894,18,vepric,""
destinationvocin,0.0324244551784524,0.00517228731368481,6.26888129216331,3.74393068756729e-10,18,vocin,***
destinationkrasno,-0.0496966703421983,0.00733117100186415,-6.77881750808452,1.26047211534377e-11,19,krasno,***
destinationludbreg,-0.0472319236952148,0.00624838095798139,-7.55906594249554,4.31325955479367e-14,19,ludbreg,***
destinationmarija_bistrica,-0.0576381793854586,15.5473576940501,-0.00370726528067959,0.997042090227015,19,marija_bistrica,""
destinationnin,-0.0310126248947815,17.6232542877485,-0.00175975585373815,0.998595943942204,19,nin,""
destinationsinj,-0.0474362841198359,15.547386580285,-0.00305107767629499,0.997565639773661,19,sinj,""
destinationsolin,-0.0605922007943276,17.6233389520313,-0.00343817939150195,0.997256784472475,19,solin,""
destinationtrsat,-0.0633953698347966,15.5473605568285,-0.00407756478040596,0.996746641525327,19,trsat,""
destinationvepric,-0.0481839558001999,0.0078672786636993,-6.12460265612902,9.33593977685958e-10,19,vepric,***
destinationvocin,0.0813071215013854,0.00658446280260855,12.3483302949444,7.57240850625623e-35,19,vocin,***
destinationkrasno,-0.0366460880813172,0.0087429279387485,-4.19151208131344,2.78814733440899e-05,20,krasno,***
destinationludbreg,-0.0405324468565034,0.00787359205197367,-5.14789775606208,2.6701536747155e-07,20,ludbreg,***
destinationmarija_bistrica,-0.012705911173748,14.8062787465089,-0.000858143453279502,0.999315312981914,20,marija_bistrica,""
destinationnin,0.0844103550089402,16.7719596226247,0.00503282603274776,0.995984474960913,20,nin,""
destinationsinj,-0.0164334711951077,14.8062393262818,-0.00110990176728654,0.999114442619415,20,sinj,""
destinationsolin,0.0763833352516085,16.7720219425889,0.00455421150252907,0.99636634284812,20,solin,""
destinationtrsat,-0.0202838932202153,14.8062648071222,-0.00136995342744771,0.998906955305335,20,trsat,""
destinationvepric,-0.0577002707503166,0.00933597496439008,-6.18042260935799,6.57154337984261e-10,20,vepric,***
destinationvocin,-0.0698189006591418,0.00461149813290405,-15.1401775837159,2.25802829057735e-51,20,vocin,***
destinationkrasno,-0.00400352042555003,0.00734637735880064,-0.544965257026171,0.585786153083872,21,krasno,""
destinationludbreg,-0.00490018691817988,0.00627530282001728,-0.780868598492014,0.4348930759099,21,ludbreg,""
destinationmarija_bistrica,-0.0911938901802159,16.077000176313,-0.00567232003359532,0.995474249062818,21,marija_bistrica,""
destinationnin,-0.0673721304700348,18.555846824122,-0.00363077638593423,0.997103118027145,21,nin,""
destinationsinj,-0.0460489139087777,16.0769840133259,-0.00286427565460092,0.997714682890826,21,sinj,""
destinationsolin,-0.0638197131196159,18.5558821924744,-0.00343932519389992,0.997255870276274,21,solin,""
destinationtrsat,-0.0136922467656627,16.0770014307258,-0.000851666700700457,0.999320480588002,21,trsat,""
destinationvepric,-0.00379562826310893,0.00810284525098897,-0.468431538001502,0.639483361684013,21,vepric,""
destinationvocin,-0.00537906086444193,0.00400890270583833,-1.34177885050894,0.179689622149887,21,vocin,""
destinationkrasno,-0.0126782162327882,0.00656749487328544,-1.93044935358219,0.0535714943919034,22,krasno,""
